nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Foster,Steven,19,175.0,62.5,H,non,bac,Île-de-France,oui,oui,hom,0,78.7,4958,veuf,,0.19,2021-04-04,,,500.0
Tapia,Todd,31,190.0,63.5,H,oui,bac+2,Corse,non,oui,het,1,221.8,3001,veuf,,0.93,2023-03-19,,1270.84,786.595928525307
Hardy,Michelle,68,174.6,66.5,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,2,227.8,3758,,,0.68,2024-08-27,576.0,,29093.676396627423
Newton,Kenneth,50,187.1,106.8,H,oui,master,Occitanie,non,non,het,2,64.0,3967,marié,,0.68,2022-03-18,,10000.0,7823.303925132546
Davila,Kathleen,42,169.7,63.4,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,het,2,19.5,2091,,3.0,0.92,2020-10-17,,5000.0,500.0
Henry,Christina,31,152.8,66.1,H,oui,doctorat,Île-de-France,oui,non,hom,3,298.4,5731,marié,,0.8,2023-08-02,556.0,10000.0,24020.24395844216
Cabrera,Shane,54,195.0,84.4,H,non,aucun,Corse,oui,non,hom,1,247.2,886,marié,,0.91,2022-12-09,515.0,488.21,500.0
Patterson,Daniel,27,177.8,88.2,H,oui,doctorat,Occitanie,non,oui,het,3,305.4,1061,marié,,0.57,2022-04-20,,692.45,29425.13822833588
Deleon,James,31,163.8,64.9,H,oui,doctorat,Bretagne,oui,oui,hom,1,238.7,1540,,3.0,0.9,2023-08-29,818.0,5000.0,22143.694141361553
Johnston,Daniel,54,185.1,92.8,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,0,231.9,3447,,,0.09,2021-07-16,,10000.0,23381.42115415252
Edwards,Michael,63,165.0,56.9,F,oui,aucun,Hauts-de-France,oui,oui,het,0,290.4,1820,veuf,,0.43,2020-10-18,404.0,,500.0
Hernandez,Eric,68,165.0,52.8,H,oui,master,Normandie,oui,non,het,3,220.7,1684,marié,4.0,0.36,2023-09-24,414.0,5000.0,4324.856803286908
Smith,Lauren,73,176.6,51.3,F,oui,bac,Bretagne,oui,oui,het,0,216.7,2310,célibataire,,0.56,2022-03-06,,1094.79,500.0
Roberson,Emily,57,171.9,36.1,H,oui,aucun,Bretagne,non,non,het,2,202.5,3140,veuf,0.0,0.37,2020-11-17,629.0,,500.0
Watts,Sara,35,181.1,63.5,F,non,aucun,Normandie,oui,oui,het,0,344.3,4089,,2.0,0.96,2020-09-14,516.0,10000.0,500.0
Graves,Brett,25,172.1,82.2,H,non,bac,Corse,oui,oui,het,3,139.9,3387,marié,,0.0,2023-07-05,511.0,,500.0
Williams,Joshua,40,166.6,64.4,H,non,doctorat,Normandie,oui,non,het,2,276.7,2622,divorcé,,0.3,2024-02-06,746.0,5000.0,500.0
Brown,Lauren,25,187.4,43.0,H,non,master,Hauts-de-France,oui,non,het,-1,287.2,3158,célibataire,3.0,0.42,2021-12-16,,,500.0
Black,Judith,34,160.0,84.2,H,non,aucun,Île-de-France,non,oui,het,1,215.1,1959,célibataire,3.0,0.54,2025-05-29,,5000.0,10854.079364023019
Harris,Lawrence,65,166.5,72.5,H,oui,master,Occitanie,non,non,het,2,331.3,3385,célibataire,,0.84,2021-03-17,659.0,605.13,13939.190884194722
Webb,Laurie,48,171.0,50.1,F,non,bac,Bretagne,oui,non,hom,1,173.1,3074,,,0.17,2023-11-10,,5000.0,500.0
Rose,Ashley,44,163.2,62.4,H,oui,bac+2,Occitanie,oui,non,het,3,281.4,3403,divorcé,,0.99,2022-11-30,,,500.0
White,Joanna,26,173.2,51.2,H,oui,aucun,Bretagne,oui,oui,het,3,83.6,1824,célibataire,1.0,0.2,2020-07-28,,881.48,8454.336007043335
Richardson,Katelyn,72,159.3,86.3,H,oui,aucun,Normandie,oui,oui,het,2,244.7,4181,divorcé,,0.33,2021-04-30,,5000.0,7322.6954208912375
Alvarado,Jordan,55,180.5,99.2,F,non,master,Île-de-France,oui,oui,het,2,329.2,500,marié,2.0,0.96,2021-05-17,458.0,5000.0,6793.452284371787
Cook,Jacob,50,180.5,65.7,F,non,bac,Provence-Alpes-Côte d’Azur,oui,non,het,3,329.4,3322,,,0.64,2024-10-24,,1200.45,500.0
Williams,Austin,28,186.2,62.2,H,non,bac,Île-de-France,non,non,het,2,260.4,1447,veuf,5.0,0.4,2021-12-10,809.0,10000.0,500.0
Evans,Zachary,66,186.1,85.4,H,non,master,Hauts-de-France,oui,non,het,2,266.0,2886,divorcé,0.0,0.83,2020-12-22,,10000.0,500.0
Wiley,Jeremiah,72,154.5,53.2,H,oui,bac,Corse,oui,non,het,1,320.2,2744,célibataire,,0.38,2020-04-07,,5000.0,500.0
Carroll,Marilyn,19,171.2,56.0,H,non,doctorat,Île-de-France,oui,oui,het,1,342.3,1731,divorcé,,0.37,2024-01-31,,10000.0,7178.331807639605
